case_id,overall_pass,misconduct_verdict_present,max_risk_observed,expected_risk_match,required_findings_found,evidence_ledger_complete,benign_explanations_present,required_materials_present,required_report_terms_present,risk_cap_violations,notes
case_001,True,False,R1,True,True,True,True,True,True,,
case_002,True,False,R1,True,True,True,True,True,True,,
case_003,True,False,R3,True,True,True,True,True,True,,
case_004,True,False,R3,True,True,True,True,True,True,,
case_005,True,False,R2,True,True,True,True,True,True,,
case_006,True,False,R3,True,True,True,True,True,True,,
case_007,True,False,R3,True,True,True,True,True,True,,
case_008,True,False,R2,True,True,True,True,True,True,,
case_009,True,False,R1,True,True,True,True,True,True,,
case_010,True,False,R3,True,True,True,True,True,True,,
case_011,True,False,R1,True,True,True,True,True,True,,
case_012,True,False,R1,True,True,True,True,True,True,,
case_013,True,False,R2,True,True,True,True,True,True,,
case_014,True,False,R2,True,True,True,True,True,True,,
case_015,True,False,R2,True,True,True,True,True,True,,
case_016,True,False,R2,True,True,True,True,True,True,,
case_017,True,False,R2,True,True,True,True,True,True,,
case_018,True,False,R2,True,True,True,True,True,True,,
case_019,True,False,R2,True,True,True,True,True,True,,
case_020,True,False,R3,True,True,True,True,True,True,,
case_021,True,False,R1,True,True,True,True,True,True,,
case_022,True,False,R1,True,True,True,True,True,True,,
case_023,True,False,R1,True,True,True,True,True,True,,
case_024,True,False,R3,True,True,True,True,True,True,,
case_025,True,False,R2,True,True,True,True,True,True,,
case_026,True,False,R3,True,True,True,True,True,True,,
case_027,True,False,R2,True,True,True,True,True,True,,
case_028,True,False,R3,True,True,True,True,True,True,,
case_029,True,False,R1,True,True,True,True,True,True,,
case_030,True,False,R1,True,True,True,True,True,True,,
